Accession,Host
NC_049358,Lactococcus lactis
NC_049359,Lactococcus lactis
NC_049360,Lactococcus lactis
NC_049361,Lactococcus lactis
NC_049362,Lactococcus lactis
NC_049363,Lactococcus lactis
NC_049364,Lactococcus lactis
NC_049365,Lactococcus lactis
NC_049366,Lactococcus lactis
NC_049367,Lactococcus lactis
NC_049368,Lactococcus lactis
NC_049369,Lactococcus lactis
NC_049370,Lactococcus lactis
NC_049371,Dinoroseobacter shibae
NC_049372,Roseobacter denitrificans
NC_049373,Lactococcus lactis
NC_049374,Lactococcus lactis
NC_049375,Lactococcus lactis
NC_049376,Lactococcus lactis
NC_049377,Lactococcus lactis
NC_049379,Vibrio splendidus
NC_049380,Vibrio cholerae
NC_049381,Lactococcus lactis
NC_049382,Salmonella enterica
NC_049383,Tenacibaculum sp.
NC_049384,Enterobacter asburiae
NC_049385,Escherichia coli
NC_049386,Escherichia coli
NC_049387,Escherichia coli
NC_049388,Escherichia coli
NC_049389,Escherichia coli
NC_049390,Escherichia coli
NC_049391,Escherichia coli
NC_049392,Escherichia coli
NC_049393,Escherichia coli
NC_049394,Escherichia coli
NC_049395,Escherichia coli
NC_049396,Salmonella enterica
NC_049397,Lactococcus lactis
NC_049398,Lactococcus lactis
NC_049399,Lactococcus lactis
NC_049400,Lactococcus lactis
NC_049401,Lactococcus lactis
NC_049402,Lactococcus lactis
NC_049403,Lactococcus lactis
NC_049404,Lactococcus lactis
NC_049405,Lactococcus lactis
NC_049406,Lactococcus lactis
NC_049407,Lactococcus lactis
NC_049408,Lactococcus lactis
NC_049409,Lactococcus lactis
NC_049410,Lactococcus lactis
NC_049411,Lactococcus lactis
NC_049412,Lactococcus lactis
NC_049413,Lactococcus lactis
NC_049414,Lactococcus lactis
NC_049415,Lactococcus lactis
NC_049416,Lactococcus lactis
NC_049417,Lactococcus lactis
NC_049418,Lactococcus lactis
NC_049419,Lactococcus lactis
NC_049420,Lactococcus lactis
NC_049421,Lactococcus lactis
NC_049422,Lactococcus lactis
NC_049423,Lactococcus lactis
NC_049424,Lactococcus lactis
NC_049425,Lactococcus lactis
NC_049426,Lactococcus lactis
NC_049427,Escherichia coli
NC_049428,Salmonella enterica
NC_049429,Enterobacter cloacae
NC_049430,Vibrio splendidus
NC_049431,Vibrio sp.
NC_049432,Ralstonia solanacearum
NC_049433,Escherichia sp.
NC_049434,Lactococcus lactis
NC_049435,Ruegeria pomeroyi
NC_049436,Ruegeria pomeroyi
NC_049437,Salmonella enterica
NC_049438,Acinetobacter pittii
NC_049439,Salmonella enterica
NC_049440,Salmonella enterica
NC_049441,Acinetobacter baumannii
NC_049443,Salmonella enterica
NC_049444,Klebsiella pneumoniae
NC_049445,Acinetobacter baumannii
NC_049446,Lactococcus lactis
NC_049447,Lactococcus lactis
NC_049448,Klebsiella pneumoniae
NC_049449,Klebsiella pneumoniae
NC_049450,Klebsiella pneumoniae
NC_049451,Klebsiella pneumoniae
NC_049452,Klebsiella pneumoniae
NC_049453,Klebsiella pneumoniae
NC_049454,Klebsiella pneumoniae
NC_049455,Shigella boydii
NC_049457,Escherichia coli
NC_049458,Salmonella sp.
NC_049459,Salmonella sp.
NC_049460,Salmonella sp.
NC_049462,Klebsiella pneumoniae
NC_049463,Stenotrophomonas maltophilia
NC_049464,Serratia marcescens
NC_049465,Arthrobacter globiformis
NC_049467,Klebsiella pneumoniae
NC_049469,Sinorhizobium meliloti
NC_049470,Arthrobacter globiformis
NC_049472,Klebsiella pneumoniae
NC_049473,Arthrobacter globiformis
NC_049474,Lactococcus lactis
NC_049475,Lactococcus lactis
NC_049476,Lactococcus lactis
NC_049477,Vibrio alginolyticus
NC_049479,Acinetobacter baumannii
NC_049480,Lactococcus lactis
NC_049481,Lactococcus lactis
NC_049482,Lactococcus lactis
NC_049483,Lactococcus lactis
NC_049484,Lactococcus lactis
NC_049485,Lactococcus lactis
NC_049486,Lactococcus lactis
NC_049487,Lactococcus lactis
NC_049488,Lactococcus lactis
NC_049490,Acinetobacter baumannii
NC_049491,Acinetobacter baumannii
NC_049492,Acinetobacter baumannii
NC_049493,Acinetobacter baumannii
NC_049494,Acinetobacter baumannii
NC_049495,Salmonella enterica
NC_049496,Salmonella enterica
NC_049497,Salmonella enterica
NC_049498,Arthrobacter globiformis
NC_049499,Salmonella enterica
NC_049500,Salmonella enterica
NC_049501,Salmonella enterica
NC_049502,Salmonella enterica
NC_049503,Salmonella enterica
NC_049504,Salmonella enterica
NC_049505,Salmonella enterica
NC_049506,Salmonella enterica
NC_049507,Salmonella enterica
NC_049508,Salmonella enterica
NC_049510,Erwinia amylovora
NC_049511,Acinetobacter baumannii
NC_049512,Salmonella sp.
NC_048625,Lacticaseibacillus paracasei
NC_048626,Pseudomonas aeruginosa
NC_048627,Escherichia coli
NC_048628,Bacillus cereus
NC_048629,Clostridium perfringens
NC_048631,Bacillus subtilis
NC_048632,Salmonella enterica
NC_048633,Bacillus cereus
NC_048634,Staphylococcus aureus
NC_048635,Staphylococcus aureus
NC_048636,Staphylococcus aureus
NC_048638,Pseudomonas aeruginosa
NC_048639,Pseudomonas aeruginosa
NC_048640,Bacillus thuringiensis
NC_048641,Bacillus cereus
NC_048642,Clostridioides difficile
NC_048643,Clostridioides difficile
NC_048644,Staphylococcus aureus
NC_048645,Cronobacter sakazakii
NC_048646,Cronobacter sakazakii
NC_048647,Klebsiella sp.
NC_048649,Salmonella enterica
NC_048651,Aeribacillus pallidus
NC_048652,Bacillus subtilis
NC_048653,Pectobacterium atrosepticum
NC_048654,Pectobacterium atrosepticum
NC_048655,Salmonella enterica
NC_048656,Klebsiella pneumoniae
NC_048657,Staphylococcus aureus
NC_048658,Staphylococcus aureus
NC_048659,Pectobacterium wasabiae
NC_048660,Aeromonas sp.
NC_048661,Clostridium perfringens
NC_048664,Cronobacter sakazakii
NC_048667,Bacillus cereus
NC_048668,Serratia marcescens
NC_048669,Rhodococcus erythropolis
NC_048670,Klebsiella pneumoniae
NC_048673,Aeromonas salmonicida
NC_048674,Aeromonas salmonicida
NC_048675,Pseudomonas sp.
NC_048676,Pseudomonas aeruginosa
NC_048677,Lactiplantibacillus pentosus
NC_048678,Leptospira biflexa
NC_048679,Leptospira biflexa
NC_048680,Lacticaseibacillus casei
NC_048681,Staphylococcus aureus
NC_048682,Raoultella ornithinolytica
NC_048683,Salmonella enterica
NC_048684,Streptomyces viridochromogenes
NC_048685,Streptomyces lividans
NC_048686,Streptomyces griseus
NC_048687,Pseudomonas fluorescens
NC_048688,Paenibacillus larvae
NC_048689,Paenibacillus larvae
NC_048690,Paenibacillus larvae
NC_048691,Paenibacillus larvae
NC_048692,Paenibacillus larvae
NC_048693,Paenibacillus larvae
NC_048694,Klebsiella pneumoniae
NC_048695,Gordonia terrae
NC_048696,Mycolicibacterium smegmatis
NC_048698,Bacillus thuringiensis
NC_048699,Pseudomonas aeruginosa
NC_048700,Klebsiella pneumoniae
NC_048701,Anoxybacillus caldiproteolyticus
NC_048702,Erwinia amylovora
NC_048703,Xanthomonas fragariae
NC_048704,Pectobacterium atrosepticum
NC_048705,Mycolicibacterium smegmatis
NC_048706,Streptomyces scabiei
NC_048707,Clostridium perfringens
NC_048708,Rhodococcus erythropolis
NC_048709,Vibrio coralliilyticus
NC_048710,Staphylococcus aureus
NC_048711,Staphylococcus aureus
NC_048712,Clostridium perfringens
NC_048713,Staphylococcus aureus
NC_048714,Paenibacillus larvae
NC_048715,Paenibacillus larvae
NC_048716,Paenibacillus larvae
NC_048717,Paenibacillus larvae
NC_048718,Paenibacillus larvae
NC_048719,Streptomyces griseus
NC_048720,Streptomyces griseus
NC_048721,Streptomyces griseus
NC_048722,Streptomyces griseus
NC_048723,Streptomyces griseus
NC_048724,Streptomyces griseus
NC_048726,Bacillus subtilis
NC_048727,Salmonella enterica
NC_048728,Streptomyces griseus
NC_048729,Mycolicibacterium smegmatis
NC_048730,Streptomyces lividans
NC_048731,Escherichia coli
NC_048732,Klebsiella pneumoniae
NC_048733,Microbacterium paraoxydans
NC_048734,Mycolicibacterium smegmatis
NC_048735,Alkalihalobacterium bogoriense
NC_048736,Serratia marcescens
NC_048737,Lacticaseibacillus rhamnosus
NC_048738,Clostridium perfringens
NC_048739,Arthrobacter globiformis
NC_048740,Arthrobacter globiformis
NC_048741,Proteus mirabilis
NC_048742,Streptomyces griseofuscus
NC_048743,Mycolicibacterium smegmatis
NC_048745,Pseudomonas aeruginosa
NC_048746,Gordonia terrae
NC_048747,Vibrio alginolyticus
NC_048748,Escherichia coli
NC_048749,Gordonia terrae
NC_048750,Gordonia terrae
NC_048751,Pantoea agglomerans
NC_048752,Levilactobacillus brevis
NC_048753,Levilactobacillus brevis
NC_048754,Levilactobacillus brevis
NC_048755,Stenotrophomonas maltophilia
NC_048756,Nodularia spumigena
NC_048757,Nodularia spumigena
NC_048758,Serratia marcescens
NC_048759,Serratia marcescens
NC_048760,Salmonella enterica
NC_048761,Microbacterium foliorum
NC_048762,Bacillus thuringiensis
NC_048766,Pantoea agglomerans
NC_048767,Pantoea agglomerans
NC_048768,Gordonia terrae
NC_048769,Aeromonas hydrophila
NC_048770,Aeromonas hydrophila
NC_048771,Aeromonas hydrophila
NC_048772,Aeromonas hydrophila
NC_048773,Aeromonas hydrophila
NC_048774,Aeromonas hydrophila
NC_048775,Aeromonas hydrophila
NC_048776,Aeromonas hydrophila
NC_048777,Microbacterium foliorum
NC_048778,Microbacterium foliorum
NC_048779,Vibrio alginolyticus
NC_048780,Corynebacterium xerosis
NC_048781,Salmonella enterica
NC_048782,Rhodococcus erythropolis
NC_048783,Gordonia rubripertincta
NC_048784,Rhodococcus erythropolis
NC_048785,Salmonella sp.
NC_048786,Salmonella sp.
NC_048787,Corynebacterium xerosis
NC_048788,Mycolicibacterium smegmatis
NC_048789,Corynebacterium xerosis
NC_048790,Corynebacterium xerosis
NC_048791,Corynebacterium xerosis
NC_048792,Serratia marcescens
NC_048793,Gordonia rubripertincta
NC_048794,Salmonella enterica
NC_048795,Salmonella enterica
NC_048797,Priestia megaterium
NC_048798,Klebsiella pneumoniae
NC_048799,Escherichia coli
NC_048800,Serratia marcescens
NC_048801,Microbacterium foliorum
NC_048802,Stenotrophomonas maltophilia
NC_048803,Proteus mirabilis
NC_048804,Stenotrophomonas maltophilia
NC_048805,Klebsiella pneumoniae
NC_048806,Pseudomonas aeruginosa
NC_048807,Erwinia pyrifoliae
NC_048808,Salmonella enterica
NC_048809,Salmonella enterica
NC_048810,Gordonia rubripertincta
NC_048811,Salmonella enterica
NC_048812,Gordonia rubripertincta
NC_048813,Gordonia rubripertincta
NC_048814,Gordonia rubripertincta
NC_048815,Gordonia rubripertincta
NC_048816,Gordonia rubripertincta
NC_048817,Gordonia terrae
NC_048818,Escherichia coli
NC_048819,Salmonella enterica
NC_048820,Gordonia rubripertincta
NC_048821,Photobacterium damselae
NC_048822,Gordonia rubripertincta
NC_048823,Gordonia rubripertincta
NC_048824,Mycolicibacterium smegmatis
NC_048825,Gordonia rubripertincta
NC_048826,Gordonia rubripertincta
NC_048827,Vibrio cholerae
NC_048828,Erwinia amylovora
NC_048829,Flavobacterium sp. LMO8
NC_048830,Flavobacterium sp. LMO8
NC_048831,Flavobacterium sp. LMO9
NC_048832,Flavobacterium sp. LMO9
NC_048833,Flavobacterium sp. LMO6
NC_048834,Flavobacterium sp. LMO6
NC_048835,Flavobacterium sp. LMO9
NC_048836,Flavobacterium sp. LMO9
NC_048837,Flavobacterium sp. LMO9
NC_048838,Flavobacterium sp. LMO6
NC_048839,Flavobacterium sp. LMO9
NC_048840,Flavobacterium sp. LMO6
NC_048841,Flavobacterium sp. LMO6
NC_048842,Flavobacterium sp. LMO9
NC_048843,Flavobacterium sp. LMO8
NC_048844,Flavobacterium sp. LMO6
NC_048845,Escherichia coli
NC_048847,Alteromonas sp.
NC_048848,Butyrivibrio fibrisolvens
NC_048849,Enterobacter cloacae
NC_048850,Mycolicibacterium smegmatis
NC_048851,Gordonia terrae
NC_048852,Salmonella enterica
NC_048854,Streptomyces lividans
NC_048858,Bifidobacterium asteroides
NC_048859,Bifidobacterium asteroides
NC_048860,Microbacterium foliorum
NC_048861,Proteus mirabilis
NC_048862,Salmonella enterica
NC_048863,Salmonella enterica
NC_048864,Salmonella enterica
NC_048865,Salmonella enterica
NC_048866,Salmonella enterica
NC_048867,Salmonella enterica
NC_048868,Salmonella enterica
NC_048869,Salmonella enterica
NC_048870,Salmonella enterica
NC_048871,Salmonella enterica
NC_048872,Salmonella enterica
NC_048873,Klebsiella pneumoniae
NC_048874,Escherichia sp. MOD1-EC6098
NC_048875,Pantoea agglomerans
NC_048876,Gordonia rubripertincta
NC_048877,Microbacterium foliorum
NC_048878,Alteromonas confluentis
NC_047720,Staphylococcus aureus
NC_047721,Staphylococcus aureus
NC_047722,Staphylococcus aureus
NC_047723,Staphylococcus aureus
NC_047724,Staphylococcus aureus
NC_047725,Staphylococcus aureus
NC_047726,Staphylococcus aureus
NC_047727,Staphylococcus aureus
NC_047728,Staphylococcus aureus
NC_047729,Staphylococcus aureus
NC_047730,Staphylococcus aureus
NC_047731,Staphylococcus aureus
NC_047732,Staphylococcus aureus
NC_047735,Bacillus cereus
NC_047736,Bacillus cereus
NC_047737,Vibrio alginolyticus
NC_047738,Rhizobium etli
NC_047739,Lactiplantibacillus plantarum
NC_047740,Escherichia coli
NC_047741,Vibrio cholerae
NC_047742,Escherichia coli
NC_047743,Burkholderia pseudomallei
NC_047744,Bacillus pumilus
NC_047745,Listeria monocytogenes
NC_047746,Vibrio sp.
NC_047747,Pseudomonas syringae
NC_047748,Klebsiella pneumoniae
NC_047749,Escherichia coli
NC_047750,Mannheimia haemolytica
NC_047751,Ralstonia solanacearum
NC_047752,Burkholderia cenocepacia
NC_047753,Salmonella enterica
NC_047754,Escherichia coli
NC_047755,Yersinia enterocolitica
NC_047756,Caulobacter vibrioides
NC_047757,Caulobacter vibrioides
NC_047759,Dickeya fangzhongdai
NC_047760,Levilactobacillus brevis
NC_047762,Xanthomonas arboricola
NC_047763,Streptococcus thermophilus
NC_047764,Lactiplantibacillus plantarum
NC_047765,Ralstonia solanacearum
NC_047766,Escherichia coli
NC_047767,Staphylococcus sp.
NC_047769,Escherichia coli
NC_047770,Escherichia coli
NC_047771,Klebsiella pneumoniae
NC_047772,Klebsiella pneumoniae
NC_047773,Klebsiella pneumoniae
NC_047774,Serratia marcescens
NC_047775,Salinivibrio sp.
NC_047777,Escherichia coli
NC_047778,Pectobacterium carotovorum
NC_047779,Klebsiella pneumoniae
NC_047780,Klebsiella pneumoniae
NC_047781,Klebsiella pneumoniae
NC_047782,Klebsiella pneumoniae
NC_047783,Klebsiella pneumoniae
NC_047784,Klebsiella pneumoniae
NC_047785,Shigella sp.
NC_047786,Salmonella enterica
NC_047787,Klebsiella pneumoniae
NC_047788,Staphylococcus aureus
NC_047789,Pectobacterium wasabiae
NC_047791,Pectobacterium carotovorum
NC_047792,Streptomyces venezuelae
NC_047793,Streptomyces venezuelae
NC_047794,Streptomyces venezuelae
NC_047795,Streptomyces griseus
NC_047796,Enterococcus faecium
NC_047798,Klebsiella pneumoniae
NC_047799,Klebsiella pneumoniae
NC_047800,Ralstonia solanacearum
NC_047802,Pectobacterium carotovorum
NC_047803,Vibrio alginolyticus
NC_047804,Ralstonia solanacearum
NC_047805,Yersinia enterocolitica
NC_047806,Escherichia coli
NC_047807,Escherichia coli
NC_047808,Escherichia coli
NC_047809,Escherichia coli
NC_047810,Escherichia coli
NC_047811,Klebsiella pneumoniae
NC_047812,Escherichia coli
NC_047813,Staphylococcus epidermidis
NC_047814,Staphylococcus epidermidis
NC_047815,Erwinia amylovora
NC_047816,Ralstonia solanacearum
NC_047817,Klebsiella pneumoniae
NC_047818,Klebsiella pneumoniae
NC_047820,Escherichia coli
NC_047821,Marinomonas mediterranea
NC_047822,Escherichia coli
NC_047823,Citrobacter freundii
NC_047824,Shewanella putrefaciens
NC_047825,Klebsiella oxytoca
NC_047828,Escherichia coli
NC_047829,Escherichia coli
NC_047830,Escherichia coli
NC_047831,Pasteurella multocida
NC_047832,Pasteurella multocida
NC_047833,Erwinia tracheiphila
NC_047835,Escherichia coli
NC_047836,Marinomonas sp.
NC_047839,Pseudoalteromonas sp.
NC_047840,Xanthomonas sp.
NC_047841,Klebsiella pneumoniae
NC_047842,Klebsiella pneumoniae
NC_047843,Leclercia adecarboxylata
NC_047844,Serratia marcescens
NC_047845,Agrobacterium tumefaciens
NC_047846,Agrobacterium tumefaciens
NC_047847,Shigella dysenteriae
NC_047848,Shigella flexneri
NC_047849,Klebsiella pneumoniae
NC_047850,Klebsiella pneumoniae
NC_047851,Brevibacterium iodinum
NC_047852,Pseudomonas aeruginosa
NC_047853,Enterococcus faecalis
NC_047854,Cronobacter sakazakii
NC_047855,Staphylococcus aureus
NC_047857,Klebsiella pneumoniae
NC_047858,Proteus mirabilis
NC_047859,Salmonella enterica
NC_047860,Caulobacter vibrioides
NC_047861,Bordetella bronchiseptica
NC_047862,Klebsiella pneumoniae
NC_047863,Shigella flexneri
NC_047865,Aeromonas hydrophila
NC_047866,Aeromonas hydrophila
NC_047867,Escherichia coli
NC_047868,Rhizobium etli
NC_047869,Rhizobium etli
NC_047870,Rhizobium etli
NC_047871,Listeria monocytogenes
NC_047872,Listeria monocytogenes
NC_047873,Pseudomonas sp.
NC_047874,Pseudomonas fluorescens
NC_047875,Salmonella enterica
NC_047880,Erwinia amylovora
NC_047881,Shigella sonnei
NC_047882,Vibrio cholerae
NC_047883,Acinetobacter baumannii
NC_047886,Pectobacterium sp.
NC_047887,Pectobacterium sp.
NC_047888,Ralstonia solanacearum
NC_047889,Escherichia coli
NC_047890,Escherichia coli
NC_047891,Gordonia terrae
NC_047892,Gordonia terrae
NC_047893,Escherichia coli
NC_047894,Pseudomonas syringae
NC_047895,Escherichia coli
NC_047896,Acinetobacter baumannii
NC_047897,Lactiplantibacillus plantarum
NC_047898,Salmonella enterica
NC_047899,Escherichia coli
NC_047900,Klebsiella pneumoniae
NC_047901,Klebsiella pneumoniae
NC_047902,Pseudomonas grimontii
NC_047903,Vibrio parahaemolyticus
NC_047904,Streptomyces lividans
NC_047905,Streptomyces azureus
NC_047906,Streptomyces azureus
NC_047907,Klebsiella pneumoniae
NC_047908,Klebsiella pneumoniae
NC_047909,Faecalibacterium prausnitzii
NC_047910,Faecalibacterium prausnitzii
NC_047911,Faecalibacterium prausnitzii
NC_047912,Faecalibacterium prausnitzii
NC_047913,Faecalibacterium prausnitzii
NC_047914,Faecalibacterium prausnitzii
NC_047915,Faecalibacterium prausnitzii
NC_047916,Faecalibacterium prausnitzii
NC_047917,Erwinia amylovora
NC_047918,Lactiplantibacillus plantarum
NC_047919,Staphylococcus aureus
NC_047920,Citrobacter rodentium
NC_047921,Gordonia terrae
NC_047923,Escherichia coli
NC_047924,Lactiplantibacillus plantarum
NC_047925,Lactiplantibacillus plantarum
NC_047926,Lactiplantibacillus plantarum
NC_047927,Escherichia coli
NC_047928,Haloarcula hispanica
NC_047929,Shigella flexneri
NC_047930,Ralstonia solanacearum
NC_047931,Lactiplantibacillus plantarum
NC_047932,Klebsiella pneumoniae
NC_047933,Pseudomonas agarici
NC_047938,Escherichia coli
NC_047939,Yersinia pestis
NC_047940,Yersinia pestis
NC_047941,Salmonella enterica
NC_047942,Escherichia coli
NC_047943,Haloarcula hispanica
NC_047944,Klebsiella pneumoniae
NC_047946,Ralstonia solanacearum
NC_047947,Salmonella sp.
NC_047948,Staphylococcus aureus
NC_047949,Aeromonas hydrophila
NC_047950,Aeromonas hydrophila
NC_047952,Pseudomonas aeruginosa
NC_047953,Pseudomonas aeruginosa
NC_047954,Pseudomonas syringae
NC_047955,Pseudomonas syringae
NC_047956,Pseudomonas syringae
NC_047957,Pseudomonas syringae
NC_047959,Escherichia coli
NC_047960,Escherichia coli
NC_047961,Dickeya solani
NC_047962,Xanthomonas campestris
NC_047963,Pectobacterium carotovorum
NC_047964,Dickeya solani
NC_047965,Pseudomonas fluorescens
NC_047966,Aeromonas hydrophila
NC_047967,Pseudomonas aeruginosa
NC_047968,Klebsiella pneumoniae
NC_047969,Klebsiella pneumoniae
NC_047970,Klebsiella pneumoniae
NC_047971,Klebsiella pneumoniae
NC_047972,Microbacterium foliorum
NC_047973,Microbacterium foliorum
NC_047974,Rhodococcus erythropolis
NC_047975,Microbacterium foliorum
NC_047976,Microbacterium foliorum
NC_047977,Microbacterium foliorum
NC_047978,Erwinia amylovora
NC_047979,Escherichia coli
NC_047980,Klebsiella pneumoniae
NC_047981,Pseudomonas sp.
NC_047982,Ralstonia solanacearum
NC_047983,Levilactobacillus brevis
NC_047984,Escherichia coli
NC_047986,Microbacterium foliorum
NC_047987,Microbacterium paraoxydans
NC_047988,Microbacterium paraoxydans
NC_047989,Microbacterium paraoxydans
NC_047990,Gordonia terrae
NC_047991,Gordonia terrae
NC_047992,Microbacterium paraoxydans
NC_047993,Microbacterium foliorum
NC_047994,Klebsiella pneumoniae
NC_047995,Erwinia amylovora
NC_047996,Escherichia coli
NC_047997,Pseudomonas fluorescens
NC_047999,Salmonella enterica
NC_048000,Salmonella enterica
NC_048001,Salmonella sp.
NC_048002,Escherichia coli
NC_048003,Pseudomonas fluorescens
NC_048004,Salmonella enterica
NC_048005,Salmonella enterica
NC_048006,Salmonella enterica
NC_048007,Salmonella enterica
NC_048008,Salmonella enterica
NC_048009,Salmonella enterica
NC_048010,Salmonella enterica
NC_048011,Salmonella enterica
NC_048012,Salmonella enterica
NC_048013,Salmonella enterica
NC_048014,Klebsiella pneumoniae
NC_048015,Parasynechococcus marenigrum
NC_048016,Erwinia amylovora
NC_048017,Microbacterium foliorum
NC_048018,Gordonia terrae
NC_048019,Gordonia terrae
NC_048020,Microbacterium foliorum
NC_048021,Gordonia terrae
NC_048022,Eggerthella lenta
NC_048023,Escherichia coli
NC_048024,Klebsiella pneumoniae
NC_048025,Shigella flexneri
NC_048026,Synechococcus sp. WH 8109
NC_048027,Gordonia terrae
NC_048028,Gordonia terrae
NC_048029,Sphingomonas paucimobilis
NC_048035,Vibrio parahaemolyticus
NC_048036,Vibrio parahaemolyticus
NC_048037,Sulfolobus sp.
NC_048038,Microbacterium foliorum
NC_048039,Gordonia terrae
NC_048040,Gordonia terrae
NC_048041,Vibrio parahaemolyticus
NC_048042,Klebsiella pneumoniae
NC_048043,Klebsiella pneumoniae
NC_048044,Klebsiella pneumoniae
NC_048045,Caulobacter vibrioides
NC_048046,Caulobacter vibrioides
NC_048047,Caulobacter vibrioides
NC_048049,Synechococcus sp. WH 7803
NC_048052,Dickeya solani
NC_048053,Dickeya solani
NC_048054,Dickeya solani
NC_048056,Pectobacterium atrosepticum
NC_048057,Dickeya solani
NC_048058,Pectobacterium atrosepticum
NC_048059,Dickeya solani
NC_048060,Dickeya solani
NC_048061,Pectobacterium atrosepticum
NC_048062,Salmonella enterica
NC_048063,Escherichia coli
NC_048064,Escherichia coli
NC_048065,Citrobacter freundii
NC_048066,Vibrio cyclitrophicus
NC_048068,Microbacterium foliorum
NC_048069,Corynebacterium xerosis
NC_048070,Corynebacterium xerosis
NC_048072,Streptomyces platensis
NC_048073,Escherichia coli
NC_048074,Acinetobacter baumannii
NC_048075,Acinetobacter baumannii
NC_048076,Acinetobacter baumannii
NC_048077,Dickeya solani
NC_048078,Escherichia coli
NC_048079,Escherichia coli
NC_048080,Acinetobacter baumannii
NC_048081,Acinetobacter baumannii
NC_048082,Escherichia coli
NC_048083,Gordonia terrae
NC_048084,Lactiplantibacillus plantarum
NC_048085,Lactiplantibacillus plantarum
NC_048086,Proteus mirabilis
NC_048087,Enterococcus faecium
NC_048088,Cronobacter sakazakii
NC_048089,Salmonella enterica
NC_048090,Microbacterium foliorum
NC_048091,Arthrobacter globiformis
NC_048092,Arthrobacter globiformis
NC_048093,Sinomonas atrocyanea
NC_048094,Arthrobacter globiformis
NC_048095,Arthrobacter globiformis
NC_048096,Arthrobacter globiformis
NC_048097,Arthrobacter globiformis
NC_048098,Arthrobacter globiformis
NC_048099,Arthrobacter globiformis
NC_048100,Arthrobacter globiformis
NC_048101,Microbacterium foliorum
NC_048102,Synechococcus sp. WH 7803
NC_048104,Lactobacillus delbrueckii
NC_048105,Salmonella enterica
NC_048106,Synechococcus sp. CBW1002
NC_048107,Staphylococcus aureus
NC_048108,Yersinia pseudotuberculosis
NC_048109,Pseudomonas aeruginosa
NC_048110,Salmonella enterica
NC_048111,Pectobacterium carotovorum
NC_048112,Escherichia coli
NC_048113,Salmonella enterica
NC_048114,Klebsiella pneumoniae
NC_048115,Arthrobacter globiformis
NC_048116,Pectobacterium atrosepticum
NC_048117,Pectobacterium atrosepticum
NC_048118,Pectobacterium atrosepticum
NC_048119,Pectobacterium atrosepticum
NC_048120,Pectobacterium atrosepticum
NC_048121,Vibrio breoganii
NC_048122,Vibrio breoganii
NC_048123,Vibrio cyclitrophicus
NC_048124,Vibrio breoganii
NC_048125,Vibrio breoganii
NC_048126,Klebsiella pneumoniae
NC_048129,Klebsiella sp.
NC_048130,Klebsiella sp.
NC_048131,Klebsiella sp.
NC_048133,Aeromonas hydrophila
NC_048134,Lactiplantibacillus plantarum
NC_048135,Enterobacter cloacae
NC_048136,Escherichia coli
NC_048137,Pantoea agglomerans
NC_048138,Klebsiella pneumoniae
NC_048139,Streptomyces lividans
NC_048140,Arthrobacter globiformis
NC_048141,Gordonia terrae
NC_048142,Acinetobacter baumannii
NC_048143,Klebsiella pneumoniae
NC_048144,Microbacterium foliorum
NC_048145,Salmonella enterica
NC_048146,Gordonia terrae
NC_048147,Xanthomonas campestris
NC_048148,Providencia stuartii
NC_048149,Salmonella sp.
NC_048151,Vibrio sp.
NC_048152,Arthrobacter globiformis
NC_048153,Streptomyces venezuelae
NC_048154,Streptomyces griseus
NC_048155,Streptomyces griseus
NC_048159,Staphylococcus aureus
NC_048161,Cronobacter turicensis
NC_048162,Klebsiella pneumoniae
NC_048163,Escherichia coli
NC_048165,Microbacterium paraoxydans
NC_048166,Pseudomonas sp.
NC_048167,Vibrio parahaemolyticus
NC_048168,Pseudomonas aeruginosa
NC_048169,Gordonia terrae
NC_048170,Escherichia coli
NC_048172,Escherichia coli
NC_048173,Erwinia amylovora
NC_048174,Shigella flexneri
NC_048175,Klebsiella pneumoniae
NC_048176,Gordonia terrae
NC_048177,Escherichia coli
NC_048178,Escherichia coli
NC_048179,Salmonella enterica
NC_048180,Shigella flexneri
NC_048182,Edwardsiella tarda
NC_048183,Synechococcus sp. CB0101
NC_048184,Synechococcus sp. CB0101
NC_048185,Gordonia terrae
NC_048186,Escherichia coli
NC_048187,Rheinheimera sp. BAL341
NC_048188,Rheinheimera sp. BAL341
NC_048189,Rheinheimera sp. BAL341
NC_048190,Rheinheimera sp. BAL341
NC_048191,Rheinheimera sp. BAL341
NC_048192,Staphylococcus pseudintermedius
NC_048193,Escherichia coli
NC_048195,Escherichia coli
NC_048196,Escherichia coli
NC_048197,Erwinia horticola
NC_048198,Erwinia horticola
NC_048199,Nitrosopumilus sp.
NC_048202,Escherichia coli
NC_048207,Gordonia terrae
NC_048208,Escherichia coli
NC_045425,Thermus thermophilus
NC_043767,Mycolicibacterium smegmatis
NC_043027,Bacillus subtilis
NC_043028,Xanthomonas oryzae
NC_043029,Stenotrophomonas maltophilia
NC_043030,Aeropyrum pernix
NC_043427,Aeropyrum pernix
NC_043469,Klebsiella aerogenes
NC_042564,Escherichia coli
NC_042308,Mycolicibacterium smegmatis
NC_042309,Mycolicibacterium smegmatis
NC_042310,Mycolicibacterium smegmatis
NC_042311,Mycolicibacterium smegmatis
NC_042312,Mycolicibacterium smegmatis
NC_042313,Mycolicibacterium smegmatis
