Accession,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
NC_038965,Tomato chlorotic mottle Guyane virus,Begomovirus solanumpallidiguyanense,Begomovirus,Geminiviridae,,GF:Mon2:GF455:09,2631,complete,French Guiana,Solanum lycopersicum,,,2009-07-06,2018-08-24,ssDNA(+/-)
NC_038966,Atractylodes mottle virus,Carlavirus atractylodis,Carlavirus,Betaflexiviridae,,SK,8881,complete,South Korea,Atractylodes macrocephala,,"Zhao,F., Igori,D., Lim,S., Yoo,R.H., Lee,S.H., Moon,J.S.",2013-06,2018-08-24,ssRNA(+)
NC_038967,Whitefly-associated begomovirus 1,Begomovirus bemisiaprimi,Begomovirus,Geminiviridae,,GtSq11,2609,complete,Guatemala,unidentified plant,pooled insects,"Rosario,K., Seah,Y.M., Marr,C., Varsani,A., Kraberger,S., Stainton,D., Moriones,E., Polston,J.E., Duffy,S., Breitbart,M.",2012-01,2018-08-24,ssDNA(+/-)
NC_038968,Whitefly-associated begomovirus 2,Begomovirus bemisiasecundi,Begomovirus,Geminiviridae,,GtSq5,2590,complete,Guatemala,unidentified plant,pooled insects,"Rosario,K., Seah,Y.M., Marr,C., Varsani,A., Kraberger,S., Stainton,D., Moriones,E., Polston,J.E., Duffy,S., Breitbart,M.",2012-01,2018-08-24,ssDNA(+/-)
NC_038969,Whitefly-associated begomovirus 3,Begomovirus bemisiatertii,Begomovirus,Geminiviridae,,GtSq10,2629,complete,Guatemala,unidentified plant,pooled insects,"Rosario,K., Seah,Y.M., Marr,C., Varsani,A., Kraberger,S., Stainton,D., Moriones,E., Polston,J.E., Duffy,S., Breitbart,M.",2012-01,2018-08-24,ssDNA(+/-)
NC_038970,Whitefly-associated begomovirus 4,Begomovirus bemisiaquarti,Begomovirus,Geminiviridae,,GtSq8,2608,complete,Guatemala,unidentified plant,pooled insects,"Rosario,K., Seah,Y.M., Marr,C., Varsani,A., Kraberger,S., Stainton,D., Moriones,E., Polston,J.E., Duffy,S., Breitbart,M.",2012-01,2018-08-24,ssDNA(+/-)
NC_038971,Whitefly-associated begomovirus 6,Begomovirus bemisiasexti,Begomovirus,Geminiviridae,,PR10-1,2638,complete,Puerto Rico,unidentified plant,pooled insects,"Rosario,K., Seah,Y.M., Marr,C., Varsani,A., Kraberger,S., Stainton,D., Moriones,E., Polston,J.E., Duffy,S., Breitbart,M.",2010-11,2018-08-24,ssDNA(+/-)
NC_038972,Whitefly-associated begomovirus 7,Begomovirus bemisiaseptimi,Begomovirus,Geminiviridae,,Sp5-4,2767,complete,Spain,unidentified plant,pooled insects,"Rosario,K., Seah,Y.M., Marr,C., Varsani,A., Kraberger,S., Stainton,D., Moriones,E., Polston,J.E., Duffy,S., Breitbart,M.",2011-09,2018-08-24,ssDNA(+/-)
NC_038973,Whitefly associated Guatemala alphasatellite 2,Clecrusatellite guatemalaense,Clecrusatellite,Alphasatellitidae,,GtTo2-1,1370,complete,Guatemala,unidentified plant,pooled insects,"Rosario,K., Marr,C., Varsani,A., Kraberger,S., Stainton,D., Moriones,E., Polston,J.E., Breitbart,M., Seah,Y.M., Duffy,S.",2012-01,2018-08-24,ssDNA
NC_038974,Whitefly associated Guatemala alphasatellite 1,Whiflysatellite guatemalaense,Whiflysatellite,Alphasatellitidae,,GtTo2-2,1359,complete,Guatemala,unidentified plant,pooled insects,"Rosario,K., Marr,C., Varsani,A., Kraberger,S., Stainton,D., Moriones,E., Polston,J.E., Breitbart,M., Seah,Y.M., Duffy,S.",2012-01,2018-08-24,ssDNA
NC_038975,Whitefly associated Puerto Rico alphasatellite 1,Clecrusatellite puertoricoense,Clecrusatellite,Alphasatellitidae,,PR3-6,1300,complete,Puerto Rico,unidentified plant,pooled insects,"Rosario,K., Marr,C., Varsani,A., Kraberger,S., Stainton,D., Moriones,E., Polston,J.E., Breitbart,M., Seah,Y.M., Duffy,S.",2010-11,2018-08-24,ssDNA
NC_038976,Euphorbia yellow leaf curl virus,Begomovirus euphorbiaflavi,Begomovirus,Geminiviridae,,PK1A,2731,complete,Pakistan,Euphorbia pulcherrima,,"Riaz,H., Ashfaq,M.",2012-08-02,2018-08-24,ssDNA(+/-)
NC_038977,Sclerotinia sclerotiorum deltaflexivirus 1,Deltaflexivirus sclerotiniae,Deltaflexivirus,Deltaflexiviridae,,AX19,8178,complete,China,Sclerotinia sclerotiorum,,"Li,K., Xie,J., Cheng,J., Fu,Y., Jiang,D.",2011-05-01,2018-08-24,ssRNA(+)
NC_038978,Lycianthes yellow mosaic virus,Begomovirus lycianthesis,Begomovirus,Geminiviridae,,GD,2752,complete,China: Guangdong,Lycianthes biflora,,"Tang,Y.F., He,Z.F.",2015-04-21,2018-08-24,ssDNA(+/-)
NC_038980,Duranta leaf curl virus,Begomovirus durantae,Begomovirus,Geminiviridae,,57SA,2759,complete,Pakistan: Bhera,Duranta erecta,plant leaf,"Anwar,S., Tahir,M.",2014-09-01,2018-08-24,ssDNA(+/-)
NC_038981,Pavonia mosaic virus,Begomovirus pavoniae,Begomovirus,Geminiviridae,,BR-Cor40-14,2700,complete,Brazil,Pavonia,,"Pinto,V.B., Silva,J.P., Fiallo-Olive,E., Navas-Castillo,J., Zerbini,F.M.",2014-09,2018-08-24,ssDNA(+/-)
NC_038982,Cnidoscolus mosaic leaf deformation virus,Begomovirus cnidoscoli,Begomovirus,Geminiviridae,,BR-Mes3-15,2641,complete,Brazil,Cnidoscolus urens,,,2015,2018-08-24,ssDNA(+/-)
NC_038983,Triumfetta yellow mosaic virus,Begomovirus triumfettae,Begomovirus,Geminiviridae,,BR-Msj1-10,2656,complete,Brazil,Triumfetta,,,2010,2018-08-24,ssDNA(+/-)
NC_038984,Daphne virus Y,Potyvirus hiemalisdaphnis,Potyvirus,Potyviridae,,SK,9448,complete,South Korea,Daphne odora,,"Igori,D., Hwang,U.S., Lim,S., Zhao,F., Kwon,S.-Y., Moon,J.S.",2014-06-08,2018-08-24,ssRNA(+)
NC_038985,Velvet bean golden mosaic virus,Begomovirus mucunaflavi,Begomovirus,Geminiviridae,,bgv6-5,2767,complete,Taiwan,Mucuna pruriens var. utilis,,"Kang,Y.T., Tsai,W.S.",2014-10,2018-08-24,ssDNA(+/-)
NC_038986,Dioscorea bacilliform RT virus 1,Badnavirus deltadioscoreae,Badnavirus,Caulimoviridae,,DBRTV1,7702,complete,Nigeria,Dioscorea cayenensis subsp. rotundata,plant leaf,"Bomer,M., Turaki,A.A., Silva,G., Kumar,P.L., Seal,S.E.",,2018-08-24,dsDNA-RT
NC_038987,Dioscorea bacilliform RT virus 2,Badnavirus epsilondioscoreae,Badnavirus,Caulimoviridae,,DBRTV2,7438,complete,Nigeria,Dioscorea cayenensis subsp. rotundata,plant leaf,"Bomer,M., Turaki,A.A., Silva,G., Kumar,P.L., Seal,S.E.",,2018-08-24,dsDNA-RT
NC_038989,Picornaviridae sp. rodent/Ee/PicoV/NX2015,Enterovirus krodeni,Enterovirus,Picornaviridae,,rodent/Ee/PicoV/NX2015,7805,complete,China,Rodentia,,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q., Liu,F., Guo,F., Liu,J.",,2018-08-24,ssRNA(+)
NC_038990,Sida chlorotic mottle virus,Begomovirus sidapallivariati,Begomovirus,Geminiviridae,,BR:Trm531.1:10,2601,complete,Brazil,,,"Ferro,C.G., Silva,J.P., Xavier,C.A.D., Godinho,M.T., Lima,A.T.M., Mar,T.B., Lau,D., Zerbini,F.M.",2010-03-24,2018-08-24,ssDNA(+/-)
NC_038991,Sida bright yellow mosaic virus,Begomovirus sidaflavi,Begomovirus,Geminiviridae,,BR:Tac720:10,2692,complete,Brazil,,,"Ferro,C.G., Silva,J.P., Xavier,C.A.D., Godinho,M.T., Lima,A.T.M., Mar,T.B., Lau,D., Zerbini,F.M.",2010-06-09,2018-08-24,ssDNA(+/-)
NC_038992,Sida golden yellow spot virus,Begomovirus sidaureimaculae,Begomovirus,Geminiviridae,,BR:Sab889:10,2813,complete,Brazil,,,"Ferro,C.G., Silva,J.P., Xavier,C.A.D., Godinho,M.T., Lima,A.T.M., Mar,T.B., Lau,D., Zerbini,F.M.",2010-06-10,2018-08-24,ssDNA(+/-)
NC_038993,Tomato yellow spot alphasatellite,Clecrusatellite solanumflavusmaculaprimi,Clecrusatellite,Alphasatellitidae,,BR:Dou1095.1:11,1367,complete,Brazil,Leonurus sibiricus,,"Ferro,C.G., Silva,J.P., Xavier,C.A.D., Godinho,M.T., Lima,A.T.M., Mar,T.B., Lau,D., Zerbini,F.M.",2011-06-08,2018-08-24,ssDNA
NC_038994,Synedrella yellow vein clearing virus,Begomovirus synedrellae,Begomovirus,Geminiviridae,,NCBS-PS-1,2751,complete,India,Synedrella nodiflora,plant leaf,"Das,S., Shivaprasad,P.",2013-04-15,2018-08-24,ssDNA(+/-)
NC_038995,Dioscorea bacilliform TR virus,Badnavirus tetadioscoreae,Badnavirus,Caulimoviridae,,CRB496,7333,complete,Guadeloupe,Dioscorea trifida,,"Umber,M., Gomez,R.M., Gelabale,S., Bonheur,L., Pavis,C., Teycheney,P.Y., Gomez,R.-M., Teycheney,P.-Y.",2014-08-22,2018-08-24,dsDNA-RT
NC_038996,Sophora alopecuroides yellow stunt alphasatellite 8,Clostunsatellite sophokerman,Clostunsatellite,Alphasatellitidae,,Ta1,1010,complete,"Iran: Kerman province, Kerman",Sophora alopecuroides,,"Heydarnejad,J., Kamali,M., Massumi,H., Kvarnheden,A., Male,M.F., Kraberger,S., Stainton,D., Martin,D.P., Varsani,A.",2014-05-15,2018-08-24,ssDNA
NC_038997,Sophora alopecuroides yellow stunt alphasatellite 1a,Sophora alopecuroides yellow stunt alphasatellite 1a,,Alphasatellitidae,,Ta1,996,complete,"Iran: Kerman province, Kerman",Sophora alopecuroides,,"Heydarnejad,J., Kamali,M., Massumi,H., Kvarnheden,A., Male,M.F., Kraberger,S., Stainton,D., Martin,D.P., Varsani,A.",2014-05-15,2018-08-24,ssDNA
NC_038998,Sophora alopecuroides yellow stunt alphasatellite 7a,Sophora alopecuroides yellow stunt alphasatellite 7a,,Alphasatellitidae,,Ta1,1022,complete,"Iran: Kerman province, Kerman",Sophora alopecuroides,,"Heydarnejad,J., Kamali,M., Massumi,H., Kvarnheden,A., Male,M.F., Kraberger,S., Stainton,D., Martin,D.P., Varsani,A.",2014-05-15,2018-08-24,ssDNA
NC_038999,Sophora alopecuroides yellow stunt alphasatellite 4,Sophora alopecuroides yellow stunt alphasatellite 4,,Alphasatellitidae,,Ta1,1009,complete,"Iran: Kerman province, Kerman",Sophora alopecuroides,,"Heydarnejad,J., Kamali,M., Massumi,H., Kvarnheden,A., Male,M.F., Kraberger,S., Stainton,D., Martin,D.P., Varsani,A.",2014-05-15,2018-08-24,ssDNA
NC_039000,Sophora alopecuroides yellow stunt alphasatellite 9,Clostunsatellite sophorae,Clostunsatellite,Alphasatellitidae,,Ta1,1003,complete,"Iran: Kerman province, Kerman",Sophora alopecuroides,,"Heydarnejad,J., Kamali,M., Massumi,H., Kvarnheden,A., Male,M.F., Kraberger,S., Stainton,D., Martin,D.P., Varsani,A.",2014-05-15,2018-08-24,ssDNA
NC_039001,Desmodium mottle virus,Begomovirus desmodii,Begomovirus,Geminiviridae,,UG5,2767,complete,Uganda,Desmodium,,"Mollel,H.G., Sseruwagi,P., Ndunguru,J., Alicai,T., Colvin,J., Navas-Castillo,J., Fiallo-Olive,E.",2015-03,2018-08-24,ssDNA(+/-)
NC_039002,Bellflower veinal mottle virus,Bevemovirus campanulae,Bevemovirus,Potyviridae,,SW,8259,complete,South Korea: Suwon,Campanula takesimana,,"Seo,J.K., Kwak,H.R., Kim,M.K., Kim,J.S., Choi,H.S., Seo,J.-K., Kwak,H.-R., Kim,M.-K., Choi,H.-S.",2015-07-18,2018-08-24,ssRNA(+)
NC_039003,Malachra yellow mosaic virus,Malachra yellow mosaic virus,Begomovirus,Geminiviridae,,Barasat,2739,complete,India,Malachra capitata,,"Sherpa,A.R.",2014-10-01,2018-08-24,ssDNA(+/-)
NC_039004,Penguin megrivirus,Megrivirus epengu,Megrivirus,Picornaviridae,,KGI-Bel-P5/2015,9702,complete,,Pygoscelis adeliae,,"Zell,R., Yinda,C.K., Esefeld,J., Peter,H.U., Matthijnssens,J.",2015-01-09,2018-08-24,ssRNA(+)
NC_039005,University of Giessen virus,Reptarenavirus giessenae,Reptarenavirus,Arenaviridae,,1,3433,complete,Germany,Boa constrictor,,"Hepojoki,J., Salmenpera,P., Sironen,T., Hetzel,U., Korzykov,Y., Kipar,A., Vapalahti,O., Korzyukov,Y.",2012,2018-08-24,ssRNA(+/-)
NC_039006,University of Giessen virus,Reptarenavirus giessenae,Reptarenavirus,Arenaviridae,,1,6787,complete,Germany,Boa constrictor,,"Hepojoki,J., Salmenpera,P., Sironen,T., Hetzel,U., Korzykov,Y., Kipar,A., Vapalahti,O., Korzyukov,Y.",2012,2018-08-24,ssRNA(+/-)
NC_039007,Tavallinen suomalainen mies virus,Reptarenavirus commune,Reptarenavirus,Arenaviridae,,TSMV2,3400,complete,Switzerland,,brain,"Keller,S., Hetzel,U., Sironen,T., Korzyukov,Y., Vapalahti,O., Kipar,A., Hepojoki,J.",2015,2018-08-24,ssRNA(+/-)
NC_039008,Tavallinen suomalainen mies virus,Reptarenavirus commune,Reptarenavirus,Arenaviridae,,TSMV2,6917,complete,Switzerland,,brain,"Keller,S., Hetzel,U., Sironen,T., Korzyukov,Y., Vapalahti,O., Kipar,A., Hepojoki,J.",2015,2018-08-24,ssRNA(+/-)
NC_039009,Mammarenavirus ryukyuense,Mammarenavirus ryukyuense,Mammarenavirus,Arenaviridae,,YN2013,3363,complete,China,Mus caroli,,,2013-08,2018-08-24,ssRNA(+/-)
NC_039010,Mammarenavirus ryukyuense,Mammarenavirus ryukyuense,Mammarenavirus,Arenaviridae,,YN2013,7144,complete,China,Mus caroli,,,2013-08,2018-08-24,ssRNA(+/-)
NC_039011,Souris virus,Mammarenavirus cameroonense,Mammarenavirus,Arenaviridae,,"PREDICT-05775,5302,5304",7263,complete,Cameroon,Praomys,blood,,2013-01-01,2018-08-24,ssRNA(+/-)
NC_039012,Souris virus,Mammarenavirus cameroonense,Mammarenavirus,Arenaviridae,,"PREDICT-05775,5302,5304",3383,complete,Cameroon,Praomys,blood,,2013-01-01,2018-08-24,ssRNA(+/-)
NC_039013,Jungle carpet python virus,Carbovirus queenslandense,Carbovirus,Bornaviridae,,1,8804,complete,Australia,Morelia spilota,,"Hyndman,T.H., Shilton,C.M., Stenglein,M.D., Wellehan,J.F.X. Jr., Wellehan,J.F.X.",2014-01-01,2018-08-24,ssRNA(-)
NC_039014,Southwest carpet python virus,Carbovirus tapeti,Carbovirus,Bornaviridae,,1,8810,complete,Australia,Morelia spilota,,"Hyndman,T.H., Shilton,C.M., Stenglein,M.D., Wellehan,J.F.X. Jr., Wellehan,J.F.X.",2014-01-01,2018-08-24,ssRNA(-)
NC_039015,Avian paramyxovirus 14,Metaavulavirus japanense,Metaavulavirus,Paramyxoviridae,14,APMV14/duck/Japan/11OG0352/2011,15444,complete,Japan,Anatidae,feces,"Thampaisarn,R., Bui,V.N., Trinh,D.Q., Nagai,M., Mizutani,T., Omatsu,T., Katayama,Y., Gronsang,D., Le,D.H., Ogawa,H., Imai,K.",2011-10-28,2018-08-24,ssRNA(-)
NC_039016,avian paramyxovirus 16,Orthoavulavirus upoense,Orthoavulavirus,Paramyxoviridae,15,APMV-15/WB/Kr/UPO216/2014,15180,complete,South Korea,Anas platyrhynchos,,"Lee,H.J., Kim,J.Y., Lee,Y.J., Lee,E.K., Song,B.M., Lee,H.S., Choi,K.S., Lee,H.-J., Kim,J.-Y., Lee,Y.-J., Lee,E.-K., Song,B.-M., Lee,H.-S., Choi,K.-S.",2014,2018-08-24,ssRNA(-)
NC_039017,Antarctic penguin virus A,Orthoavulavirus borisense,Orthoavulavirus,Paramyxoviridae,,001,14926,complete,Antarctica,Pygoscelis papua,,"Neira,V., Barriga,G., Verdugo,C., Mor,S., Ng,T.F.F., Del Rio J,J., Tapia,R., Garcia,V., Rodrigues,P., Briceno,C., Medina,R., Gonzalez-Acuna,D.",2014,2018-08-24,ssRNA(-)
NC_039018,Antarctic penguin virus B,Orthoavulavirus kopaiticense,Orthoavulavirus,Paramyxoviridae,,002,14931,complete,Antarctica,Pygoscelis papua,,"Neira,V., Barriga,G., Verdugo,C., Mor,S., Ng,T.F.F., Del Rio J,J., Tapia,R., Garcia,V., Rodrigues,P., Briceno,C., Medina,R., Gonzalez-Acuna,D.",2014,2018-08-24,ssRNA(-)
NC_039019,Antarctic penguin virus C,Orthoavulavirus oneillense,Orthoavulavirus,Paramyxoviridae,,003,15017,complete,Antarctica,Pygoscelis papua,,"Neira,V., Barriga,G., Verdugo,C., Mor,S., Ng,T.F.F., Del Rio J,J., Tapia,R., Garcia,V., Rodrigues,P., Briceno,C., Medina,R., Gonzalez-Acuna,D.",2014,2018-08-24,ssRNA(-)
NC_039020,Kanyawara virus,Ledantevirus kanyawara,Ledantevirus,Rhabdoviridae,,MPK004,10843,complete,Uganda,Dipseliopoda,,"Goldberg,T.L., Bennett,A.J., Kityo,R., Kuhn,J., Chapman,C.A.",2010-02-02,2018-08-24,ssRNA(-)
NC_039021,Beatrice Hill virus,Tibrovirus beatrice,Tibrovirus,Rhabdoviridae,,CSIRO 25,13296,complete,Australia: Beatrice Hill,Culicoides peregrinus,brain,"Wiley,M.R., Prieto,K., Blasdell,K.R., Cai,Y., Campos,C., Walker,P.J., Chiu,C.Y., Palacios,G., Kuhn,J.H., Khun,J.H.",1976,2018-08-24,ssRNA(-)
NC_039022,Puma feline foamy virus,Puma feline foamy virus,Felispumavirus,Retroviridae,,FFVpc-X102,11649,complete,USA,Puma concolor,blood,"Kehl,T., Bleiholder,A., Rossmann,F., Rupp,S., Lei,J., Lee,J., Boyce,W., Vickers,W., Crooks,K., Vandewoude,S., Lochelt,M., Van de Woude,S., Loechelt,M.",2010-01,2018-08-24,ssRNA-RT
NC_039023,Brown greater galago prosimian foamy virus,Prosimiispumavirus otocra,Prosimiispumavirus,Retroviridae,,PSFVgal,12118,complete,USA,Otolemur crassicaudatus,,"Katzourakis,A., Aiewsakun,P., Jia,H., Wolfe,N.D., LeBreton,M., Yoder,A.D., Switzer,W.M., Wolfe,N., Yoder,A.",,2018-08-24,ssRNA-RT
NC_039024,Central cimpanzee simian foamy virus,Simiispumavirus pantrotro,Simiispumavirus,Retroviridae,,BAD327,13220,complete,Cameroon,Homo sapiens,,"Rua,R., Betsem,E., Calattini,S., Saib,A., Gessain,A.",,2018-08-24,ssRNA-RT
NC_039025,Eastern chimpanzee simian foamy virus,Simiispumavirus pantrosch,Simiispumavirus,Retroviridae,,,11954,complete,,Homo sapiens,,"Wagner,T.C., Bodem,J., Hofmann,D.",1977,2018-08-24,ssRNA-RT
NC_039026,Japanese macaque simian foamy virus,Simiispumavirus macfus,Simiispumavirus,Retroviridae,,,12957,complete,Japan,Mus terricolor,,"Yoshikawa,R., Nakagawa,S., Okamoto,M., Miyazawa,T.",,2018-08-24,ssRNA-RT
NC_039027,Spider monkey simian foamy virus,Simiispumavirus atespp,Simiispumavirus,Retroviridae,,,12212,complete,,,,"Thumer,L., Rethwilm,A., Holmes,E.C., Bodem,J., Thuemer,L.",,2018-08-24,ssRNA-RT
NC_039028,Squirrel monkey simian foamy virus,Simiispumavirus saisci,Simiispumavirus,Retroviridae,SFV4,1224,11684,complete,USA,Saimiri,oronasopharynx,"Pacheco,B., Finzi,A., McGee-Estrada,K., Sodroski,J.",2009-11,2018-08-24,ssRNA-RT
NC_039029,Western lowland gorilla simian foamy virus,Simiispumavirus gorgorgor,Simiispumavirus,Retroviridae,,,12258,complete,,Gorilla gorilla gorilla,,"Schulze,A., Lemey,P., Schubert,J., McClure,M.O., Rethwilm,A., Bodem,J.",,2018-08-24,ssRNA-RT
NC_039030,White-tufted-ear marmoset simian foamy virus,Simiispumavirus caljac,Simiispumavirus,Retroviridae,,SFVmar,11744,complete,USA,Callithrix,blood,"Pacheco,B., Finzi,A., McGee-Estrada,K., Sodroski,J.",2008-09,2018-08-24,ssRNA-RT
NC_039031,Yellow-breasted capuchin simian foamy virus,Simiispumavirus sapxan,Simiispumavirus,Retroviridae,,Z17,11764,complete,Brazil,Sapajus xanthosternos,blood,"Troncoso,L.L., Muniz,C.P., Siqueira,J.D., Curty,G., Schrago,C.G., Augusto,A., Fedullo,L., Soares,M.A., Santos,A.F., Ferreira,G.C., Augusto,A.M., Fedullo,L.P.",2013-07,2018-08-24,ssRNA-RT
NC_039032,Psittacine aviadenovirus B,Aviadenovirus rubri,Aviadenovirus,Adenoviridae,,CS15-4016,40930,complete,Australia,Poicephalus rufiventris,liver,"Das,S., Fearnside,K., Sarker,S., Forwood,J.K., Raidal,S.R., Ghorashi,S.A.",2015,2018-08-24,dsDNA
NC_039033,Bat associated circovirus 9,Circovirus kelawar,Circovirus,Circoviridae,,BtRf-CV-61/YN2010,1900,complete,China,Rhinolophus ferrumequinum,,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2010-12,2018-08-24,ssDNA(+/-)
NC_039034,Common midwife toad virus,Ranavirus alytes1,Ranavirus,Iridoviridae,,Pelophylax kl. esculentus/2013/NL,107772,complete,Netherlands,Pelophylax lessonae,,"van Beurden,S.J., Hughes,J., Saucedo,B., Rijks,J., Kik,M., Haenen,O.L., Engelsma,M.Y., Grone,A., Verheije,M.H., Wilkie,G., Haenen,O.L.M., Verheije,H.",2013-08-22,2018-08-24,dsDNA
NC_039036,Giraffa camelopardalis papillomavirus 1,Deltapapillomavirus 7,Deltapapillomavirus,Papillomaviridae,,GC2011,7688,complete,Denmark,Giraffa camelopardalis,,"Vanmechelen,B., Bertelsen,M.F., Rector,A., Laenen,L., Vergote,V., Maes,P.",2011,2018-08-24,dsDNA
NC_039037,Pudu puda papillomavirus 1,Dyokappapapillomavirus 5,Dyokappapapillomavirus,Papillomaviridae,,ILAT 93802,7138,complete,Germany: Berlin,Pudu puda,hair follicle,"Mengual-Chulia,B., Wittstatt,U., Gottschling,M., Bravo,I.G.",2006,2018-08-24,dsDNA
NC_039038,Talpa europaea papillomavirus 1,Dyophipapillomavirus 1,Dyophipapillomavirus,Papillomaviridae,,Bruges/2009/22,7497,complete,Belgium,Talpa europaea,,"Maes,P., Sijmons,S., Stevens,H., Van Ranst,M.",2009-08-06,2018-08-24,dsDNA
NC_039039,Peromyscus papillomavirus 1,Iotapapillomavirus 2,Iotapapillomavirus,Papillomaviridae,,,7704,complete,USA,Peromyscus maniculatus,feces,"Phan,T.G., Kapusinszky,B., Wang,C., Rose,R.K., Lipton,H.L., Delwart,E.L., Phan,T., Delwart,E.",2010,2018-08-24,dsDNA
NC_039040,Myotis ricketti papillomavirus 1,Treisiotapapillomavirus 1,Treisiotapapillomavirus,Papillomaviridae,,,7339,complete,China,Myotis ricketti,,"Wu,Z., Ren,X., Yang,L., Hu,Y., Yang,J., He,G., Zhang,J., Dong,J., Sun,L., Du,J., Liu,L., Xue,Y., Wang,J., Yang,F., Zhang,S., Jin,Q.",2011-02,2018-08-24,dsDNA
NC_039041,Rusa timorensis papillomavirus 1,Treisthetapapillomavirus 1,Treisthetapapillomavirus,Papillomaviridae,,IZW 39/08,7773,complete,"Germany: Tierpark Berlin, Berlin",Rusa timorensis,hair follicle,"Mengual-Chulia,B., Wibbelt,G., Gottschling,M., Bravo,I.G.",2008-02-07,2018-08-24,dsDNA
NC_039042,Cervus elaphus papillomavirus 2,Xipapillomavirus 5,Xipapillomavirus,Papillomaviridae,,S129/08.1,7409,complete,Germany: Berlin,Cervus elaphus,hair follicle,"Mengual-Chulia,B., Gottschling,M., Weps,P., Bravo,I.G.",2008,2018-08-24,dsDNA
NC_039043,Penaeus stylirostris penstyldensovirus 1,Penstylhamaparvovirus decapod1,Penstylhamaparvovirus,Parvoviridae,,,3873,complete,,Penaeus stylirostris,,"Shike,H., Dhar,A.K., Burns,J.C., Shimizu,C., Jousset,F.X., Klimpel,K.R., Bergoin,M.",,2018-08-24,ssDNA(+/-)
NC_039044,Feline bocaparvovirus 3,Bocaparvovirus carnivoran5,Bocaparvovirus,Parvoviridae,,FBD1,5407,complete,USA,Felis catus,feces,"Zhang,W., Li,L., Deng,X., Kapusinszky,B., Pesavento,P.A., Delwart,E.",2013-10,2018-08-24,ssDNA(+/-)
NC_039045,Myotis myotis bocavirus 1,Bocaparvovirus chiropteran1,Bocaparvovirus,Parvoviridae,,,5038,complete,China,Myotis myotis,,"Wu,Z., Ren,X., Yang,L., Hu,Y., Yang,J., He,G., Zhang,J., Dong,J., Sun,L., Du,J., Liu,L., Xue,Y., Wang,J., Yang,F., Zhang,S., Jin,Q.",2010-12,2018-08-24,ssDNA(+/-)
NC_039046,Bat bocavirus WM40,Bocaparvovirus chiropteran2,Bocaparvovirus,Parvoviridae,,WM40,4995,complete,Myanmar,Miniopterus fuliginosus,,,2008-11,2018-08-24,ssDNA(+/-)
NC_039047,Bat bocavirus XM30,Bocaparvovirus chiropteran3,Bocaparvovirus,Parvoviridae,,XM30,4832,complete,Myanmar,Miniopterus fuliginosus,,,2008-11,2018-08-24,ssDNA(+/-)
NC_039048,Miniopterus schreibersii bat bocavirus,Bocaparvovirus chiropteran4,Bocaparvovirus,Parvoviridae,,,4822,complete,Hong Kong,Miniopterus schreibersii,,"Lau,S.K., Ahmed,S.S., Yeung,H.C., Li,K.S., Fan,R.Y., Cheng,T.Y., Cai,J.P., Wang,M., Zheng,B.J., Wong,S.S., Woo,P.C., Yuen,K.Y., Lau,S.K.P., So,J.W.K., Li,K.S.M., Fan,R.Y.Y., Cheng,T.Y.T., Wang,S.Y., Chan,B.C.C., Cai,J.-P., Guo,R., Shek,C.-T., Zheng,B.-J., Wong,S.S.Y., Woo,P.C.Y., Yuen,K.-Y.",2013-05-15,2018-08-24,ssDNA(+/-)
NC_039049,Wuharv parvovirus 1,Protoparvovirus primate2,Protoparvovirus,Parvoviridae,,,4909,complete,USA,Macaca mulatta,,"Handley,S.A., Thackray,L.B., Zhao,G., Presti,R., Miller,A.D., Droit,L., Abbink,P., Maxfield,L.F., Kambal,A., Duan,E., Stanley,K., Kramer,J., Macri,S.C., Permar,S.R., Schmitz,J.E., Mansfield,K., Brenchley,J.M., Veazey,R.S., Stappenbeck,T.S., Wang,D., Barouch,D.H., Virgin,H.W., Handley,S., Miller,A., Brenchley,J.",2010-01-10,2018-08-24,ssDNA(+/-)
NC_039050,Cutavirus,Protoparvovirus primate3,Protoparvovirus,Parvoviridae,,,4456,complete,Brazil,Homo sapiens,feces,"Phan,T.G., Dreno,B., da Costa,A.C., Li,L., Orlandi,P., Deng,X., Kapusinszky,B., Siqueira,J., Knol,A.C., Halary,F., Dantal,J., Alexander,K.A., Pesavento,P.A., Delwart,E., Phan,T.",,2018-08-24,ssDNA(+/-)
NC_039051,Piliocolobus badius polyomavirus 2,Alphapolyomavirus pibadius,Alphapolyomavirus,Polyomaviridae,,5947,5148,complete,Cote d'Ivoire,,,"Ben-Salem,N., Leendertz,F., Ehlers,B.",2005,2018-08-24,dsDNA
