Accession,Host,order,family,genus,species
NC_048169.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_048170.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_048172.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_048173.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_048174.1,Shigella flexneri,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri
NC_048175.1,Klebsiella pneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
NC_048176.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_048177.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_048178.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_048179.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_048180.1,Shigella flexneri,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri
NC_048182.1,Edwardsiella tarda,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella tarda
NC_048183.1,Synechococcus sp. CB0101,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0101
NC_048184.1,Synechococcus sp. CB0101,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CB0101
NC_048185.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_048186.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_048187.1,Rheinheimera sp. BAL341,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera sp. BAL341
NC_048188.1,Rheinheimera sp. BAL341,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera sp. BAL341
NC_048189.1,Rheinheimera sp. BAL341,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera sp. BAL341
NC_048190.1,Rheinheimera sp. BAL341,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera sp. BAL341
NC_048191.1,Rheinheimera sp. BAL341,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera sp. BAL341
NC_048192.1,Staphylococcus pseudintermedius,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pseudintermedius
NC_048193.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_048195.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_048196.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_048197.1,Erwinia horticola,Enterobacterales,Erwiniaceae,Erwinia,Erwinia horticola
NC_048198.1,Erwinia horticola,Enterobacterales,Erwiniaceae,Erwinia,Erwinia horticola
NC_048199.1,Nitrosopumilus sp.,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp.
NC_048202.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_048207.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_048208.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_045425.1,Thermus thermophilus,Thermales,Thermaceae,Thermus,Thermus thermophilus
NC_043767.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_043027.1,Bacillus subtilis,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis
NC_043028.1,Xanthomonas oryzae,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas oryzae
NC_043029.1,Stenotrophomonas maltophilia,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Stenotrophomonas maltophilia
NC_043030.1,Aeropyrum pernix,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum pernix
NC_043427.1,Aeropyrum pernix,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum pernix
NC_043469.1,Klebsiella aerogenes,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes
NC_042564.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_042308.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042309.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042310.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042311.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042312.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042313.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042314.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042315.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042316.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042317.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042318.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042319.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042320.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042321.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042322.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042323.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042324.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042325.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042326.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042327.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042328.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042329.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042330.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042331.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042332.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042333.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042334.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042335.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042336.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042337.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042338.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042339.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042340.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042341.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042342.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_042343.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_042344.1,Xylella fastidiosa,Lysobacterales,Lysobacteraceae,Xylella,Xylella fastidiosa
NC_042345.1,Xylella fastidiosa,Lysobacterales,Lysobacteraceae,Xylella,Xylella fastidiosa
NC_042346.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_042347.1,Sulfolobus sp. A20,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus sp. A20
NC_042348.1,Salinibacter ruber,Rhodothermales,Salinibacteraceae,Salinibacter,Salinibacter ruber
NC_042349.1,Salinibacter ruber,Rhodothermales,Salinibacteraceae,Salinibacter,Salinibacter ruber
NC_042350.1,Salinibacter ruber,Rhodothermales,Salinibacteraceae,Salinibacter,Salinibacter ruber
NC_042351.1,Salinibacter ruber,Rhodothermales,Salinibacteraceae,Salinibacter,Salinibacter ruber
NC_042352.1,Salinibacter ruber,Rhodothermales,Salinibacteraceae,Salinibacter,Salinibacter ruber
NC_042354.1,Corynebacterium glutamicum,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum
NC_042355.1,Corynebacterium glutamicum,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum
NC_042140.1,Priestia megaterium,Bacillales,Bacillaceae,Priestia,Priestia megaterium
NC_042139.2,Corynebacterium vitaeruminis,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium vitaeruminis
NC_030928.1,Xanthomonas arboricola,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas arboricola
NC_030937.1,Xanthomonas arboricola,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas arboricola
NC_041844.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041845.1,Flavobacterium columnare,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium columnare
NC_041846.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041847.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041848.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041849.1,Streptomyces sp.,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces sp.
NC_041850.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041852.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041853.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041854.1,Pectobacterium atrosepticum,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium atrosepticum
NC_041855.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041856.1,Streptomyces coelicolor,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
NC_041857.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_041858.1,Bacillus pumilus,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus
NC_041859.1,Flavobacterium psychrophilum,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum
NC_041860.1,Streptomyces venezuelae,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces venezuelae
NC_041861.1,Enterococcus faecalis,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
NC_041862.1,Listeria monocytogenes,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
NC_041863.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041864.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041865.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_041866.1,Acinetobacter sp.,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp.
NC_041867.1,Paenibacillus larvae,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus larvae
NC_041869.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041870.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_041871.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041872.1,Flavobacterium psychrophilum,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium psychrophilum
NC_041873.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041874.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041877.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_041878.1,Pectobacterium carotovorum,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium carotovorum
NC_041880.1,Pseudomonas putida,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida
NC_041881.1,Pseudomonas putida,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida
NC_041882.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041883.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_041884.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_041886.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_041887.1,Rhodococcus erythropolis,Mycobacteriales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis
NC_041888.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041889.1,Streptomyces azureus,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces azureus
NC_041890.1,Propionibacterium freudenreichii,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii
NC_041891.1,Propionibacterium freudenreichii,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii
NC_041892.1,Propionibacterium freudenreichii,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii
NC_041893.1,Propionibacterium freudenreichii,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii
NC_041894.1,Propionibacterium freudenreichii,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii
NC_041895.1,Propionibacterium freudenreichii,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii
NC_041896.1,Campylobacter jejuni,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni
NC_041897.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041898.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041899.1,Klebsiella pneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
NC_041900.1,Klebsiella pneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
NC_041901.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041902.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_041903.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_041904.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_041905.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_041906.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041907.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_041908.1,Rhizobium etli,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium etli
NC_041909.1,Paenibacillus larvae,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus larvae
NC_041910.1,Vibrio vulnificus,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus
NC_041911.1,Ralstonia solanacearum,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum
NC_041912.1,Aquamicrobium sp. H14,Hyphomicrobiales,Phyllobacteriaceae,Aquamicrobium,Aquamicrobium sp. H14
NC_041913.1,Providencia sp.,Enterobacterales,Morganellaceae,Providencia,Providencia sp.
NC_041914.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_041915.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_041916.1,Vibrio parahaemolyticus,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
NC_041917.1,Serratia marcescens,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
NC_041918.2,Geobacillus stearothermophilus,Bacillales,Bacillaceae,Geobacillus,Geobacillus stearothermophilus
NC_041919.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041921.1,Dinoroseobacter shibae,Rhodobacterales,Roseobacteraceae,Dinoroseobacter,Dinoroseobacter shibae
NC_041922.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_041923.1,Salmonella sp.,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella sp.
NC_041924.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_041925.1,Proteus mirabilis,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis
NC_041926.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041927.1,Sphingobium sp. IP1,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium sp. IP1
NC_041928.1,Staphylococcus epidermidis,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
NC_041929.1,Sinorhizobium meliloti,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti
NC_041934.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_041935.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041936.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041937.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041950.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_041953.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_041954.1,Cutibacterium acnes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
NC_041955.1,Cutibacterium acnes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
NC_041956.1,Cutibacterium acnes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
NC_041957.1,Cutibacterium acnes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
NC_041958.1,Roseobacter denitrificans,Rhodobacterales,Roseobacteraceae,Roseobacter,Roseobacter denitrificans
NC_041959.1,Enterococcus faecalis,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
NC_041960.1,Enterococcus faecalis,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
NC_041962.1,Tsukamurella inchonensis,Mycobacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella inchonensis
NC_041963.1,Rhodobacter capsulatus,Rhodobacterales,Paracoccaceae,Rhodobacter,Rhodobacter capsulatus
NC_041965.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041966.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_041967.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_041968.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_041969.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041970.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041971.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041972.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_041973.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_041974.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_041975.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_041976.1,Brevibacillus laterosporus,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus laterosporus
NC_041977.1,Citrobacter freundii,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii
NC_041978.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_041979.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041980.1,Klebsiella aerogenes,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes
NC_041981.1,Klebsiella pneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
NC_041982.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041983.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041984.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041985.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041986.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041987.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041988.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041989.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041990.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_041991.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_041993.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_041995.1,Shigella sonnei,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei
NC_041997.1,Paracidovorax citrulli,Burkholderiales,Comamonadaceae,Paracidovorax,Paracidovorax citrulli
NC_041998.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_042003.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_042004.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_042005.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
NC_042006.1,Acinetobacter pittii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter pittii
NC_042007.1,Acinetobacter pittii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter pittii
NC_042008.1,Streptomyces viridochromogenes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces viridochromogenes
NC_042009.1,Streptomyces griseus,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces griseus
NC_042010.1,Streptomyces griseus,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces griseus
NC_042011.1,Streptomyces lividans,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces lividans
NC_042012.1,Streptomyces griseus,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces griseus
NC_042013.1,Agrobacterium tumefaciens,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens
NC_042016.1,Streptomyces griseus,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces griseus
NC_042017.1,Shigella flexneri,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri
NC_042018.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_042019.1,Aeromonas salmonicida,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
NC_042021.1,Enterococcus faecalis,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
NC_042022.1,Enterococcus faecalis,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
NC_042023.1,Enterococcus faecalis,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
NC_042024.1,Lactococcus cremoris,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus cremoris
NC_042025.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_042027.1,Mycolicibacterium smegmatis,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
NC_042028.1,Acinetobacter baumannii,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
